"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2026";"0000";"27,1";"27,5";"27,0";"96,0";"97,0";"92,0";"26,4";"26,6";"25,9";"1011,0";"1011,0";"1010,4";"0,9";"15,0";"2,7";"";"0,0"
"01/01/2026";"0100";"26,9";"27,1";"26,8";"92,0";"96,0";"92,0";"25,6";"26,3";"25,6";"1011,4";"1011,4";"1011,0";"0,8";"355,0";"2,4";"";"0,0"
"01/01/2026";"0200";"26,3";"26,9";"26,3";"98,0";"98,0";"92,0";"26,0";"26,3";"25,7";"1010,9";"1011,4";"1010,9";"1,0";"331,0";"1,9";"";"0,0"
"01/01/2026";"0300";"25,8";"26,3";"25,8";"100,0";"100,0";"98,0";"25,8";"26,1";"25,7";"1010,3";"1010,9";"1010,3";"1,2";"308,0";"2,0";"";"0,0"
"01/01/2026";"0400";"25,4";"25,8";"25,4";"95,0";"100,0";"95,0";"24,6";"25,8";"24,6";"1009,4";"1010,3";"1009,4";"1,6";"323,0";"2,5";"";"0,0"
"01/01/2026";"0500";"25,1";"25,5";"25,1";"100,0";"100,0";"94,0";"25,1";"25,2";"24,4";"1008,4";"1009,5";"1008,4";"0,6";"262,0";"3,1";"";"0,0"
"01/01/2026";"0600";"25,2";"25,3";"25,0";"100,0";"100,0";"100,0";"25,2";"25,3";"25,0";"1007,7";"1008,4";"1007,7";"0,9";"279,0";"2,3";"";"0,0"
"01/01/2026";"0700";"25,1";"25,4";"25,1";"100,0";"100,0";"100,0";"25,1";"25,4";"25,1";"1007,5";"1007,7";"1007,5";"1,0";"270,0";"2,3";"";"0,0"
"01/01/2026";"0800";"25,1";"25,2";"24,9";"100,0";"100,0";"100,0";"25,1";"25,2";"24,9";"1007,3";"1007,6";"1007,3";"0,9";"192,0";"2,6";"";"0,0"
"01/01/2026";"0900";"26,6";"26,7";"25,1";"86,0";"100,0";"82,0";"24,0";"25,1";"23,4";"1007,7";"1007,7";"1007,3";"0,9";"181,0";"4,0";"67,90";"0,0"
"01/01/2026";"1000";"28,0";"28,0";"26,5";"80,0";"88,0";"78,0";"24,1";"25,4";"23,6";"1008,0";"1008,1";"1007,7";"1,2";"179,0";"4,4";"441,10";"0,0"
"01/01/2026";"1100";"28,8";"28,8";"28,0";"79,0";"82,0";"74,0";"24,9";"25,3";"23,6";"1008,2";"1008,2";"1007,9";"1,2";"142,0";"3,3";"860,70";"0,0"
"01/01/2026";"1200";"30,4";"30,4";"28,8";"68,0";"80,0";"67,0";"23,7";"25,1";"23,3";"1008,4";"1008,4";"1008,2";"0,7";"144,0";"2,5";"1214,50";"0,2"
"01/01/2026";"1300";"29,4";"31,1";"29,3";"79,0";"80,0";"61,0";"25,4";"25,6";"22,6";"1008,4";"1008,5";"1008,3";"3,7";"153,0";"6,2";"1883,50";"0,0"
"01/01/2026";"1400";"30,9";"30,9";"29,3";"68,0";"80,0";"68,0";"24,4";"25,6";"23,9";"1008,1";"1008,4";"1008,1";"2,3";"150,0";"6,4";"2184,00";"0,0"
"01/01/2026";"1500";"32,5";"32,8";"30,9";"60,0";"68,0";"58,0";"23,6";"24,5";"22,8";"1007,1";"1008,1";"1007,1";"2,6";"94,0";"5,2";"2668,60";"0,0"
"01/01/2026";"1600";"32,0";"32,7";"31,0";"67,0";"69,0";"58,0";"25,1";"25,1";"23,3";"1006,5";"1007,1";"1006,5";"2,4";"109,0";"5,2";"2696,80";"0,0"
"01/01/2026";"1700";"30,6";"32,0";"30,5";"68,0";"74,0";"67,0";"24,0";"25,6";"24,0";"1005,7";"1006,5";"1005,7";"2,0";"119,0";"5,4";"1801,20";"0,0"
"01/01/2026";"1800";"30,9";"31,0";"30,4";"76,0";"77,0";"66,0";"26,1";"26,1";"23,9";"1004,9";"1005,7";"1004,9";"2,9";"94,0";"4,7";"1639,60";"0,0"
"01/01/2026";"1900";"32,1";"32,3";"30,9";"61,0";"76,0";"61,0";"23,7";"26,4";"23,7";"1003,6";"1004,9";"1003,6";"2,1";"114,0";"4,7";"2226,70";"0,0"
"01/01/2026";"2000";"31,6";"32,5";"31,5";"66,0";"67,0";"60,0";"24,5";"24,9";"23,4";"1003,3";"1003,6";"1003,3";"2,1";"118,0";"4,0";"1551,70";"0,0"
"01/01/2026";"2100";"30,7";"31,8";"30,5";"70,0";"72,0";"65,0";"24,7";"25,0";"23,5";"1003,9";"1003,9";"1003,3";"1,4";"93,0";"4,2";"451,40";"0,0"
"01/01/2026";"2200";"29,9";"30,9";"29,9";"75,0";"75,0";"68,0";"24,8";"25,0";"24,3";"1004,2";"1004,2";"1003,9";"1,0";"136,0";"3,4";"50,70";"0,0"
"01/01/2026";"2300";"28,6";"29,9";"28,6";"89,0";"89,0";"74,0";"26,7";"26,7";"24,8";"1004,6";"1004,9";"1004,2";"1,3";"336,0";"2,4";"";"0,0"
"02/01/2026";"0000";"25,1";"28,6";"25,1";"96,0";"96,0";"77,0";"24,4";"26,8";"23,2";"1007,0";"1007,0";"1004,6";"4,8";"216,0";"12,0";"";"2,6"
"02/01/2026";"0100";"24,7";"25,1";"24,5";"99,0";"100,0";"96,0";"24,6";"25,0";"24,1";"1006,8";"1007,3";"1006,8";"1,2";"127,0";"12,0";"";"2,4"
"02/01/2026";"0200";"24,9";"25,0";"24,5";"100,0";"100,0";"99,0";"24,9";"25,0";"24,3";"1006,9";"1007,0";"1006,7";"1,0";"351,0";"3,0";"";"0,8"
"02/01/2026";"0300";"24,9";"25,0";"24,6";"100,0";"100,0";"100,0";"24,8";"25,0";"24,6";"1005,7";"1006,9";"1005,7";"0,9";"119,0";"3,0";"";"0,0"
"02/01/2026";"0400";"24,9";"25,2";"24,8";"100,0";"100,0";"100,0";"24,9";"25,2";"24,8";"1004,9";"1005,7";"1004,8";"1,2";"178,0";"3,1";"";"0,2"
"02/01/2026";"0500";"26,0";"26,3";"24,8";"88,0";"100,0";"85,0";"23,9";"25,3";"23,5";"1004,1";"1004,9";"1003,9";"2,0";"234,0";"5,0";"0,60";"0,0"
"02/01/2026";"0600";"28,0";"29,4";"25,8";"69,0";"91,0";"61,0";"21,8";"24,5";"21,2";"1003,3";"1004,2";"1003,1";"1,0";"102,0";"4,5";"2,80";"0,0"
"02/01/2026";"0700";"28,8";"29,5";"27,8";"65,0";"72,0";"60,0";"21,6";"22,3";"20,8";"1003,3";"1003,3";"1003,0";"1,8";"298,0";"6,1";"1,00";"0,0"
"02/01/2026";"0800";"28,8";"28,9";"27,3";"65,0";"74,0";"64,0";"21,4";"22,6";"21,2";"1003,7";"1003,7";"1003,3";"1,2";"315,0";"4,6";"";"0,0"
"02/01/2026";"0900";"28,2";"29,1";"27,6";"67,0";"75,0";"61,0";"21,6";"22,8";"20,9";"1004,0";"1004,1";"1003,6";"1,0";"315,0";"4,8";"26,30";"0,0"
"02/01/2026";"1000";"28,1";"29,4";"28,0";"70,0";"72,0";"59,0";"22,1";"22,5";"20,7";"1004,5";"1004,5";"1003,9";"1,1";"221,0";"6,5";"224,90";"0,0"
"02/01/2026";"1100";"29,7";"29,8";"27,9";"60,0";"74,0";"58,0";"21,0";"23,0";"20,7";"1004,6";"1004,7";"1004,4";"2,3";"328,0";"5,7";"609,00";"0,0"
"02/01/2026";"1200";"30,8";"30,8";"28,5";"57,0";"79,0";"56,0";"21,3";"24,8";"20,7";"1004,4";"1004,8";"1004,4";"2,6";"346,0";"6,1";"1191,50";"0,0"
"02/01/2026";"1300";"32,2";"32,2";"30,8";"52,0";"61,0";"52,0";"21,3";"22,7";"20,8";"1004,5";"1004,6";"1004,3";"3,2";"315,0";"8,8";"2088,40";"0,0"
"02/01/2026";"1400";"33,2";"33,2";"31,8";"51,0";"59,0";"49,0";"21,6";"22,9";"20,7";"1004,4";"1004,7";"1004,3";"2,8";"258,0";"11,6";"2207,00";"0,0"
"02/01/2026";"1500";"33,3";"33,9";"32,8";"52,0";"54,0";"47,0";"22,2";"22,8";"20,8";"1004,1";"1004,6";"1004,1";"1,9";"284,0";"8,5";"2888,90";"0,0"
"02/01/2026";"1600";"33,8";"34,0";"33,1";"51,0";"54,0";"47,0";"22,1";"22,5";"20,8";"1003,3";"1004,1";"1003,3";"1,9";"238,0";"5,9";"1760,30";"0,0"
"02/01/2026";"1700";"31,4";"33,9";"31,4";"70,0";"70,0";"47,0";"25,3";"25,9";"20,8";"1002,2";"1003,3";"1002,2";"3,7";"114,0";"8,2";"2208,90";"0,0"
"02/01/2026";"1800";"30,1";"31,4";"30,0";"76,0";"77,0";"69,0";"25,3";"26,1";"24,6";"1001,8";"1002,2";"1001,8";"2,8";"150,0";"7,7";"1979,00";"0,0"
"02/01/2026";"1900";"28,3";"30,3";"28,3";"96,0";"96,0";"75,0";"27,5";"27,5";"25,2";"1002,4";"1002,4";"1001,7";"0,5";"285,0";"6,0";"473,70";"3,2"
"02/01/2026";"2000";"25,8";"28,3";"25,8";"92,0";"99,0";"90,0";"24,3";"27,8";"24,3";"1002,3";"1002,5";"1002,2";"1,8";"17,0";"5,5";"465,20";"0,4"
"02/01/2026";"2100";"26,7";"27,0";"25,8";"90,0";"94,0";"88,0";"24,9";"25,7";"24,2";"1002,9";"1002,9";"1002,2";"2,0";"331,0";"4,9";"320,60";"0,0"
"02/01/2026";"2200";"25,8";"26,7";"25,5";"100,0";"100,0";"84,0";"25,8";"26,0";"23,7";"1004,3";"1004,3";"1003,0";"1,6";"353,0";"4,2";"14,10";"1,0"
"02/01/2026";"2300";"25,6";"26,0";"25,5";"100,0";"100,0";"99,0";"25,6";"26,0";"25,5";"1004,5";"1004,5";"1004,1";"1,1";"290,0";"3,1";"";"2,0"
"03/01/2026";"0000";"23,3";"25,8";"23,2";"100,0";"100,0";"99,0";"23,3";"25,7";"23,2";"1005,5";"1005,5";"1004,5";"0,8";"102,0";"7,0";"0,30";"18,0"
