"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2026";"0000";"18,5";"19,1";"18,4";"86,0";"86,0";"78,0";"16,1";"16,1";"15,2";"836,2";"836,2";"835,8";"1,1";"336,0";"3,5";"";"0,0"
"01/01/2026";"0100";"17,7";"18,5";"17,6";"89,0";"89,0";"86,0";"15,9";"16,1";"15,8";"836,5";"836,6";"836,2";"1,0";"353,0";"3,0";"";"0,0"
"01/01/2026";"0200";"17,1";"17,7";"17,1";"92,0";"92,0";"89,0";"15,8";"15,9";"15,7";"836,6";"836,7";"836,5";"0,3";"7,0";"1,4";"";"0,0"
"01/01/2026";"0300";"16,7";"17,1";"16,7";"95,0";"95,0";"92,0";"15,8";"15,9";"15,6";"836,0";"836,6";"836,0";"1,6";"341,0";"3,4";"";"0,0"
"01/01/2026";"0400";"16,6";"16,7";"16,5";"95,0";"96,0";"95,0";"15,8";"15,9";"15,7";"835,4";"836,0";"835,4";"1,2";"336,0";"2,6";"";"0,0"
"01/01/2026";"0500";"16,6";"16,7";"16,5";"95,0";"96,0";"95,0";"15,9";"15,9";"15,8";"834,6";"835,4";"834,6";"1,4";"339,0";"2,6";"";"0,0"
"01/01/2026";"0600";"16,4";"16,7";"16,2";"96,0";"96,0";"95,0";"15,7";"15,9";"15,5";"834,3";"834,7";"834,3";"0,6";"275,0";"2,6";"";"0,0"
"01/01/2026";"0700";"17,9";"17,9";"16,4";"90,0";"96,0";"90,0";"16,2";"16,2";"15,7";"834,2";"834,4";"834,2";"1,1";"244,0";"3,7";"";"0,0"
"01/01/2026";"0800";"18,0";"18,0";"17,8";"90,0";"90,0";"89,0";"16,3";"16,3";"16,0";"834,1";"834,2";"833,9";"1,2";"237,0";"4,4";"";"0,0"
"01/01/2026";"0900";"17,4";"18,0";"17,4";"94,0";"94,0";"90,0";"16,4";"16,4";"16,3";"834,6";"834,6";"834,1";"1,4";"227,0";"5,0";"24,20";"0,0"
"01/01/2026";"1000";"18,1";"18,1";"17,4";"87,0";"94,0";"87,0";"15,9";"16,4";"15,6";"834,7";"834,7";"834,5";"0,9";"225,0";"4,2";"201,90";"0,0"
"01/01/2026";"1100";"19,8";"19,9";"18,1";"77,0";"87,0";"76,0";"15,6";"16,3";"15,4";"834,6";"834,7";"834,6";"1,2";"215,0";"5,0";"895,40";"0,0"
"01/01/2026";"1200";"21,4";"21,6";"19,8";"68,0";"77,0";"67,0";"15,2";"16,4";"14,3";"834,8";"834,9";"834,6";"1,4";"225,0";"3,8";"1491,20";"0,0"
"01/01/2026";"1300";"23,1";"23,5";"21,3";"65,0";"69,0";"59,0";"16,2";"16,4";"14,3";"835,3";"835,3";"834,8";"2,0";"212,0";"5,8";"2940,30";"0,0"
"01/01/2026";"1400";"24,2";"24,3";"22,4";"64,0";"68,0";"60,0";"17,1";"17,2";"15,4";"835,1";"835,3";"835,1";"2,3";"202,0";"6,5";"3906,90";"0,0"
"01/01/2026";"1500";"23,1";"24,2";"22,0";"68,0";"76,0";"63,0";"16,8";"18,9";"15,7";"834,8";"835,1";"834,8";"2,0";"197,0";"6,5";"2906,30";"0,0"
"01/01/2026";"1600";"23,2";"24,1";"22,4";"73,0";"75,0";"66,0";"18,0";"18,7";"16,5";"834,1";"834,8";"834,1";"1,1";"213,0";"4,6";"2123,00";"0,0"
"01/01/2026";"1700";"23,6";"24,1";"22,0";"66,0";"74,0";"65,0";"16,9";"18,6";"16,2";"833,2";"834,1";"833,2";"1,3";"222,0";"4,2";"2335,50";"0,0"
"01/01/2026";"1800";"25,4";"26,1";"23,6";"57,0";"68,0";"57,0";"16,3";"18,5";"15,7";"832,6";"833,2";"832,5";"1,8";"176,0";"5,3";"2782,60";"0,0"
"01/01/2026";"1900";"23,6";"25,5";"23,6";"65,0";"67,0";"57,0";"16,6";"17,4";"15,6";"832,0";"832,6";"831,9";"1,7";"178,0";"5,4";"1785,20";"0,0"
"01/01/2026";"2000";"24,1";"24,7";"22,5";"65,0";"71,0";"62,0";"17,1";"17,8";"16,1";"831,8";"832,0";"831,5";"1,3";"180,0";"4,7";"887,20";"0,0"
"01/01/2026";"2100";"21,4";"24,1";"21,4";"77,0";"77,0";"64,0";"17,1";"17,4";"16,4";"832,1";"832,1";"831,8";"0,8";"201,0";"3,3";"317,80";"0,0"
"01/01/2026";"2200";"20,6";"21,4";"20,6";"80,0";"80,0";"74,0";"17,1";"17,1";"16,5";"832,6";"832,6";"832,0";"0,7";"226,0";"3,1";"14,90";"0,0"
"01/01/2026";"2300";"20,1";"20,6";"20,1";"80,0";"81,0";"79,0";"16,5";"17,0";"16,5";"833,1";"833,1";"832,5";"1,0";"235,0";"2,9";"";"0,0"
"02/01/2026";"0000";"19,7";"20,1";"19,7";"84,0";"84,0";"80,0";"16,9";"17,0";"16,4";"833,1";"833,2";"832,9";"0,5";"274,0";"2,6";"";"0,0"
"02/01/2026";"0100";"19,1";"19,7";"19,1";"88,0";"88,0";"84,0";"17,1";"17,1";"16,7";"833,7";"833,7";"833,1";"0,4";"282,0";"1,5";"";"0,0"
"02/01/2026";"0200";"18,8";"19,2";"18,8";"90,0";"90,0";"88,0";"17,1";"17,2";"17,0";"833,6";"833,9";"833,5";"0,4";"301,0";"1,8";"";"0,0"
"02/01/2026";"0300";"18,5";"18,8";"18,4";"88,0";"90,0";"88,0";"16,6";"17,1";"16,5";"832,9";"833,6";"832,9";"0,6";"269,0";"2,1";"";"0,0"
"02/01/2026";"0400";"17,1";"18,9";"17,1";"95,0";"95,0";"84,0";"16,3";"16,6";"16,1";"832,6";"832,9";"832,4";"1,4";"231,0";"5,2";"";"2,4"
"02/01/2026";"0500";"16,1";"17,2";"16,1";"97,0";"97,0";"95,0";"15,7";"16,6";"15,7";"831,8";"832,8";"831,7";"1,7";"161,0";"6,0";"";"5,0"
"02/01/2026";"0600";"15,7";"16,1";"15,7";"97,0";"97,0";"97,0";"15,3";"15,7";"15,3";"831,5";"831,8";"831,4";"0,6";"207,0";"3,2";"";"0,2"
"02/01/2026";"0700";"15,7";"15,8";"15,6";"97,0";"97,0";"97,0";"15,2";"15,3";"15,1";"831,5";"831,7";"831,4";"1,5";"226,0";"5,7";"";"0,0"
"02/01/2026";"0800";"15,6";"15,7";"15,5";"97,0";"97,0";"97,0";"15,1";"15,3";"15,0";"831,5";"831,5";"831,3";"1,0";"248,0";"5,7";"";"0,4"
"02/01/2026";"0900";"15,9";"15,9";"15,6";"96,0";"97,0";"96,0";"15,3";"15,3";"14,9";"831,6";"831,6";"831,5";"1,0";"251,0";"3,5";"13,40";"0,6"
"02/01/2026";"1000";"16,3";"16,3";"15,9";"94,0";"96,0";"94,0";"15,2";"15,5";"15,2";"832,0";"832,1";"831,6";"1,4";"224,0";"4,8";"204,40";"0,4"
"02/01/2026";"1100";"17,5";"17,5";"16,3";"85,0";"94,0";"84,0";"14,9";"15,3";"14,6";"832,0";"832,1";"831,9";"1,3";"222,0";"4,6";"628,00";"0,0"
"02/01/2026";"1200";"19,6";"20,4";"17,5";"74,0";"85,0";"71,0";"14,9";"16,1";"14,3";"832,1";"832,2";"832,0";"2,0";"224,0";"5,5";"1777,70";"0,0"
"02/01/2026";"1300";"20,0";"20,3";"19,6";"76,0";"79,0";"73,0";"15,5";"16,0";"14,7";"832,4";"832,4";"832,1";"2,2";"217,0";"5,7";"1946,80";"0,0"
