"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2026";"0000";"23,8";"25,6";"23,8";"82,0";"82,0";"75,0";"20,5";"21,2";"20,5";"946,7";"946,7";"946,2";"0,6";"359,0";"1,6";"";"0,0"
"01/01/2026";"0100";"24,6";"24,7";"23,7";"78,0";"83,0";"78,0";"20,5";"21,3";"20,5";"947,5";"947,5";"946,7";"2,6";"174,0";"4,0";"";"0,0"
"01/01/2026";"0200";"24,3";"25,1";"24,2";"75,0";"78,0";"74,0";"19,6";"20,6";"19,5";"948,0";"948,0";"947,5";"1,8";"183,0";"6,2";"";"0,0"
"01/01/2026";"0300";"23,1";"24,3";"23,0";"80,0";"81,0";"75,0";"19,5";"19,6";"19,4";"947,1";"948,0";"947,1";"0,9";"144,0";"3,6";"";"0,0"
"01/01/2026";"0400";"22,4";"23,2";"22,4";"84,0";"85,0";"80,0";"19,5";"19,8";"19,3";"946,5";"947,1";"946,5";"1,1";"223,0";"2,1";"";"0,0"
"01/01/2026";"0500";"22,0";"22,5";"22,0";"88,0";"89,0";"84,0";"19,9";"20,2";"19,6";"945,7";"946,5";"945,6";"0,6";"18,0";"1,5";"";"0,0"
"01/01/2026";"0600";"21,3";"22,1";"21,3";"89,0";"89,0";"87,0";"19,5";"19,9";"19,4";"945,2";"945,8";"945,2";"0,7";"147,0";"1,6";"";"0,0"
"01/01/2026";"0700";"21,0";"21,5";"21,0";"92,0";"92,0";"89,0";"19,6";"19,8";"19,4";"945,2";"945,4";"945,2";"0,4";"232,0";"1,5";"";"0,0"
"01/01/2026";"0800";"21,2";"21,2";"20,9";"91,0";"92,0";"90,0";"19,7";"19,7";"19,3";"945,1";"945,2";"945,1";"0,7";"249,0";"1,5";"";"0,0"
"01/01/2026";"0900";"21,7";"21,7";"20,8";"90,0";"92,0";"90,0";"19,9";"20,0";"19,2";"946,1";"946,1";"945,1";"1,9";"210,0";"2,4";"68,30";"0,0"
"01/01/2026";"1000";"22,8";"22,8";"21,6";"85,0";"90,0";"85,0";"20,1";"20,4";"19,7";"946,1";"946,2";"946,1";"0,7";"76,0";"2,4";"340,90";"0,0"
"01/01/2026";"1100";"24,4";"24,4";"22,8";"79,0";"85,0";"79,0";"20,6";"20,6";"20,0";"946,0";"946,2";"945,9";"1,0";"24,0";"2,1";"826,20";"0,0"
"01/01/2026";"1200";"25,9";"26,1";"24,5";"74,0";"79,0";"72,0";"20,9";"21,2";"20,2";"946,0";"946,1";"945,9";"1,1";"7,0";"2,1";"1317,40";"0,0"
"01/01/2026";"1300";"28,5";"28,9";"25,8";"64,0";"75,0";"63,0";"21,0";"22,1";"20,5";"946,0";"946,2";"946,0";"1,9";"221,0";"3,9";"2993,50";"0,0"
